Campaign,Ad Group,Default Max CPC
Search - Biquínis,Biquíni | Genérico,
Search - Biquínis,Biquíni | Empina Bumbum,
Search - Biquínis,Biquíni | Cortininha,
Search - Biquínis,Biquíni | Asa Delta,
Search - Biquínis,Biquíni | Sem Bojo,
Search - Biquínis,Biquíni | Esportivo/Surf/Futevôlei,
Search - Biquínis,Biquíni | Fio Dental,
Search - Biquínis,Biquíni | Comercial,
Search - Hot Pant,Hot Pant | Genérico,
Search - Hot Pant,Hot Pant | Manga 3/4 e Manga Longa,
Search - Hot Pant,Hot Pant | Proteção Solar UV50,
Search - Hot Pant,Hot Pant | Surf,
Search - Hot Pant,Hot Pant | Top Nadador,
Search - Hot Pant,Hot Pant | Cropped,
Search - Hot Pant,Hot Pant | Fitness/Esporte,
Search - Hot Pant,Hot Pant | Comercial,
Search - Marca e Consideração,Marca | Use Zero Hora,
Search - Marca e Consideração,Consideração | Dúvidas (SEO),
