Campaign,Ad Group,Final URL (real; via índice de busca),Tipo de LP,Confiança
Search - Biquínis,Biquíni | Genérico,https://usezerohora.com.br/search/?q=biquini,Busca no site,Página de busca confirmada
Search - Biquínis,Biquíni | Empina Bumbum,https://usezerohora.com.br/search/?q=empina+bumbum,Busca no site,Padrão de busca confirmado
Search - Biquínis,Biquíni | Cortininha,https://usezerohora.com.br/search/?q=cortininha,Busca no site,Padrão de busca confirmado
Search - Biquínis,Biquíni | Asa Delta,https://usezerohora.com.br/search/?q=asa+delta,Busca no site,Padrão de busca confirmado
Search - Biquínis,Biquíni | Sem Bojo,https://usezerohora.com.br/search/?q=biquini+sem+bojo,Busca no site,Padrão de busca confirmado
Search - Biquínis,Biquíni | Esportivo/Surf/Futevôlei,https://usezerohora.com.br/produtos/biquini-sunkini-hot-pant-top-faixa-surf-piscina-futevolei/,Produto,Produto real confirmado
Search - Biquínis,Biquíni | Fio Dental,https://usezerohora.com.br/produtos/biquini-fio-dental-marquinha-cortininha-com-regulagens/,Produto,Produto real confirmado
Search - Biquínis,Biquíni | Comercial,https://usezerohora.com.br/search/?q=biquini,Busca no site,Página de busca confirmada
Search - Hot Pant,Hot Pant | Genérico,https://usezerohora.com.br/search/?q=hot+pant,Busca no site,Padrão de busca confirmado
Search - Hot Pant,Hot Pant | Manga 3/4 e Manga Longa,https://usezerohora.com.br/search/?q=hot+pant+manga,Busca no site,Padrão de busca confirmado
Search - Hot Pant,Hot Pant | Proteção Solar UV50,https://usezerohora.com.br/produtos/maio-biquini-hot-pant-top-nadador-esporte-protecao-uv50/,Produto,Produto real confirmado
Search - Hot Pant,Hot Pant | Surf,https://usezerohora.com.br/produtos/biquini-sunkini-hot-pant-top-faixa-surf-piscina-futevolei/,Produto,Produto real confirmado
Search - Hot Pant,Hot Pant | Top Nadador,https://usezerohora.com.br/produtos/maio-biquini-hot-pant-top-nadador-esporte-protecao-uv50/,Produto,Produto real confirmado
Search - Hot Pant,Hot Pant | Cropped,https://usezerohora.com.br/search/?q=hot+pant+cropped,Busca no site,Padrão de busca confirmado
Search - Hot Pant,Hot Pant | Fitness/Esporte,https://usezerohora.com.br/produtos/maio-biquini-hot-pant-top-alcas-esporte-protecao-uv50/,Produto,Produto real confirmado
Search - Hot Pant,Hot Pant | Comercial,https://usezerohora.com.br/search/?q=hot+pant,Busca no site,Página de busca confirmada
Search - Marca e Consideração,Marca | Use Zero Hora,https://usezerohora.com.br/,Home,Home confirmada
Search - Marca e Consideração,Consideração | Dúvidas (SEO),https://usezerohora.com.br/,Home,Home confirmada
