Campaign,Ad Group,URL sugerida (a verificar),Nível,Deep-link ideal (se existir coleção filtrada),Status
Search - Biquínis,Biquíni | Genérico,https://www.usezerohora.com.br/biquini,Categoria,/biquini,A VERIFICAR
Search - Biquínis,Biquíni | Empina Bumbum,https://www.usezerohora.com.br/biquini,Categoria,/biquini/empina-bumbum,A VERIFICAR
Search - Biquínis,Biquíni | Cortininha,https://www.usezerohora.com.br/biquini,Categoria,/biquini/cortininha,A VERIFICAR
Search - Biquínis,Biquíni | Asa Delta,https://www.usezerohora.com.br/biquini,Categoria,/biquini/asa-delta,A VERIFICAR
Search - Biquínis,Biquíni | Sem Bojo,https://www.usezerohora.com.br/biquini,Categoria,/biquini/sem-bojo,A VERIFICAR
Search - Biquínis,Biquíni | Esportivo/Surf/Futevôlei,https://www.usezerohora.com.br/biquini,Categoria,/biquini/esportivo,A VERIFICAR
Search - Biquínis,Biquíni | Fio Dental,https://www.usezerohora.com.br/biquini,Categoria,/biquini/fio-dental,A VERIFICAR
Search - Biquínis,Biquíni | Comercial,https://www.usezerohora.com.br/biquini,Categoria,/biquini,A VERIFICAR
Search - Hot Pant,Hot Pant | Genérico,https://www.usezerohora.com.br/hot-pant,Categoria,/hot-pant,A VERIFICAR
Search - Hot Pant,Hot Pant | Manga 3/4 e Manga Longa,https://www.usezerohora.com.br/hot-pant,Categoria,/hot-pant/manga-3-4,A VERIFICAR
Search - Hot Pant,Hot Pant | Proteção Solar UV50,https://www.usezerohora.com.br/hot-pant,Categoria,/hot-pant/uv50,A VERIFICAR
Search - Hot Pant,Hot Pant | Surf,https://www.usezerohora.com.br/hot-pant,Categoria,/hot-pant/surf,A VERIFICAR
Search - Hot Pant,Hot Pant | Top Nadador,https://www.usezerohora.com.br/hot-pant,Categoria,/hot-pant/top-nadador,A VERIFICAR
Search - Hot Pant,Hot Pant | Cropped,https://www.usezerohora.com.br/hot-pant,Categoria,/hot-pant/cropped,A VERIFICAR
Search - Hot Pant,Hot Pant | Fitness/Esporte,https://www.usezerohora.com.br/hot-pant,Categoria,/hot-pant/fitness,A VERIFICAR
Search - Hot Pant,Hot Pant | Comercial,https://www.usezerohora.com.br/hot-pant,Categoria,/hot-pant,A VERIFICAR
Search - Marca e Consideração,Marca | Use Zero Hora,https://www.usezerohora.com.br/,Home,/,A VERIFICAR
Search - Marca e Consideração,Consideração | Dúvidas (SEO),https://www.usezerohora.com.br/,Home,/blog ou guia,A VERIFICAR
