Keyword,Ad group,Volume,CPC (USD),Intent,Match sugerido,Fonte,Observacao
sapatilha aquatica,sapatilha-aquatica-compra,12100,0.04,Commercial,Phrase,kw-manager,
sapatilha aquática,sapatilha-aquatica-compra,3600,0.04,Commercial,Phrase,kw-manager,
sapatilha nautica,sapatilha-aquatica-compra,2400,0.04,"Informational, Transactional",Phrase,kw-manager,
sapatilha aquatica feminina,sapatilha-aquatica-compra,1600,0.03,Commercial,Phrase,kw-manager,
sapatilha para praia,sapatilha-aquatica-compra,1600,0.03,Commercial,Phrase,kw-manager,
sapatilhas para praia,sapatilha-aquatica-compra,1000,0.03,"Informational, Commercial",Phrase,kw-manager,
sapatilha antiderrapante,sapatilha-aquatica-compra,720,0.06,Informational,Phrase,kw-manager,
sapato aquatico,sapatilha-aquatica-compra,720,0.04,"Informational, Commercial",Phrase,kw-manager,
tenis aquatico,sapatilha-aquatica-compra,720,0.06,"Informational, Commercial",Phrase,kw-manager,
sapatilha aquatica masculina,sapatilha-aquatica-compra,590,0.04,"Informational, Commercial",Phrase,kw-manager,
sapatilha de praia,sapatilha-aquatica-compra,590,0.03,"Informational, Commercial",Phrase,kw-manager,
sapatilha nautica feminina,sapatilha-aquatica-compra,590,0.03,"Informational, Commercial",Phrase,kw-manager,
sapatilha nautica masculina,sapatilha-aquatica-compra,590,0.04,"Informational, Commercial",Phrase,kw-manager,
sapatilha para cachoeira,sapatilha-aquatica-compra,590,0.03,Commercial,Phrase,kw-manager,
sapatilha náutica,sapatilha-aquatica-compra,480,0.04,"Informational, Commercial",Phrase,kw-manager,
sapatilhas aquaticas,sapatilha-aquatica-compra,480,0.03,Informational,Phrase,kw-manager,
sapato de praia,sapatilha-aquatica-compra,480,0.04,"Informational, Commercial",Phrase,kw-manager,
sapatilha esportiva,sapatilha-aquatica-compra,390,0.09,"Informational, Commercial",Phrase,kw-manager,
sapatilha para agua,sapatilha-aquatica-compra,390,0.03,"Informational, Commercial",Phrase,kw-manager,
sapatilha para piscina,sapatilha-aquatica-compra,390,0.04,"Informational, Commercial",Phrase,kw-manager,
sapatilha praia,sapatilha-aquatica-compra,390,0.04,Informational,Phrase,kw-manager,
sapatilha de mergulho,sapatilha-aquatica-compra,260,0.05,"Informational, Commercial",Phrase,kw-manager,
tenis para agua,sapatilha-aquatica-compra,260,0.07,"Informational, Commercial",Phrase,kw-manager,
sapatilha para mar,sapatilha-aquatica-compra,140,0.04,Commercial,Phrase,kw-manager,
sapatilha aquatica antiderrapante,sapatilha-aquatica-compra,110,0.04,Commercial,Phrase,kw-manager,
sapatilha para hidroginastica,sapatilha-aquatica-compra,90,0.03,Informational,Exact,kw-manager,
calcado aquatico,sapatilha-aquatica-compra,70,0.06,,Exact,kw-manager,
sapatilha para esportes aquaticos,sapatilha-aquatica-compra,40,0.06,,Exact,kw-manager,
calcado para agua,sapatilha-aquatica-compra,20,0.04,,Exact,kw-manager,
calcado para praia,sapatilha-aquatica-compra,20,0.07,,Exact,kw-manager,
sapatilha natacao,sapatilha-aquatica-compra,20,0.04,,Exact,kw-manager,
sapatilha para natacao,sapatilha-aquatica-compra,20,0.04,,Exact,kw-manager,
sapatilha para o mar,sapatilha-aquatica-compra,20,0.05,,Exact,kw-manager,
sapatilha para pedras,sapatilha-aquatica-compra,20,0.04,,Exact,kw-manager,
sapatilha para rio,sapatilha-aquatica-compra,20,0.03,,Exact,kw-manager,
sapatilha para surf,sapatilha-aquatica-compra,20,0.07,,Exact,kw-manager,
sapatilha surf,sapatilha-aquatica-compra,20,0.07,,Exact,kw-manager,
sapatilha aquatica adulto,sapatilha-aquatica-compra,10,0.04,,Exact,kw-manager,
sapatilha antiderrapante para praia,sapatilha-aquatica-compra,0,0.00,,Exact,kw-manager,
sapatilha de surf,sapatilha-aquatica-compra,0,0.04,,Exact,kw-manager,
sapatilha para pedra,sapatilha-aquatica-compra,0,0.04,,Exact,kw-manager,
calcado para esportes aquaticos,sapatilha-aquatica-compra,n/c,n/c,,Exact,kw-manager,
sapatilha para costao,sapatilha-aquatica-compra,n/c,n/c,,Exact,kw-manager,
sapatilha para kitesurf,sapatilha-aquatica-compra,n/c,n/c,,Exact,kw-manager,
