Keyword,Ad group,Origem,Match sugerido
sapatilha neoprene,sapatilha-neoprene-compra,head (1600/mes),Phrase
sapatilha de neoprene,sapatilha-neoprene-compra,head (590/mes),Phrase
sapatilha em neoprene,sapatilha-neoprene-compra,head (1300/mes),Phrase
neoprene sapatilha,sapatilha-neoprene-compra,head (1300/mes),Phrase
botinha de neoprene,sapatilha-neoprene-compra,head (210/mes),Phrase
bota de neoprene,sapatilha-neoprene-compra,head (170/mes),Phrase
sapatilha neoprene feminina,sapatilha-neoprene-compra,head (90/mes),Exact
sapatilha neoprene masculina,sapatilha-neoprene-compra,head (20/mes),Exact
sapatilha neoprene cano alto,sapatilha-neoprene-compra,expansao (n/c),Exact
meia de neoprene,sapatilha-neoprene-compra,expansao (n/c),Exact
meia neoprene,sapatilha-neoprene-compra,expansao (n/c),Exact
meia de surf,sapatilha-neoprene-compra,expansao (n/c),Exact
meia para surf,sapatilha-neoprene-compra,expansao (n/c),Exact
meia aquatica,sapatilha-neoprene-compra,expansao (n/c),Exact
bota de surf,sapatilha-neoprene-compra,expansao (n/c),Exact
botinha de surf,sapatilha-neoprene-compra,expansao (n/c),Exact
bota para surf,sapatilha-neoprene-compra,expansao (n/c),Exact
sapatilha aquatica,sapatilha-aquatica-compra,head (12100/mes),Phrase
sapatilha aquática,sapatilha-aquatica-compra,head (3600/mes),Phrase
sapatilhas aquaticas,sapatilha-aquatica-compra,head (480/mes),Phrase
sapatilha nautica,sapatilha-aquatica-compra,head (2400/mes),Phrase
sapatilha náutica,sapatilha-aquatica-compra,head (480/mes),Phrase
sapatilha aquatica feminina,sapatilha-aquatica-compra,head (1600/mes),Exact
sapatilha aquatica masculina,sapatilha-aquatica-compra,head (590/mes),Exact
sapatilha nautica feminina,sapatilha-aquatica-compra,head (590/mes),Exact
sapatilha nautica masculina,sapatilha-aquatica-compra,head (590/mes),Exact
sapatilha para praia,sapatilha-aquatica-compra,head (1600/mes),Phrase
