Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Ad Group,Keyword,Match Type,Campaign Negative Keyword,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
ZH | Search | Saída de Praia,Search,30.00,Maximize conversions,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG0 · Saída de Praia Zero Hora,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG0 · Saída de Praia Zero Hora,saída de praia zero hora,Exact,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG0 · Saída de Praia Zero Hora,use zero hora saída de praia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG0 · Saída de Praia Zero Hora,saída de praia use zero hora,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG0 · Saída de Praia Zero Hora,,,,Responsive search ad,Saída de Praia Zero Hora,Loja Oficial Zero Hora,Zero Hora Beach Wear,Saídas de Praia Femininas,Coleção Saída de Praia,"A Partir de R$49,99",Vestidos e Saias de Praia,Moda Praia Feminina,Transparência e Tule,Compre na Loja Oficial,Novos Modelos 2026,Veja a Coleção Completa,Saída de Praia Elegante,Compre Online com Segurança,Pronta Entrega,"Saídas de praia Zero Hora: vestidos, saias e conjuntos. A partir de R$49,99.",Loja oficial Use Zero Hora. Vários modelos com transparência e tule.,Escolha sua saída de praia e compre online com segurança. Pronta entrega.,Moda praia feminina direto da marca. Veja a coleção completa Zero Hora.,saida-de-praia,zero-hora,https://usezerohora.lojavirtualnuvem.com.br/saida-de-praia
ZH | Search | Saída de Praia,,,,AG1 · Vestido Saída de Praia,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG1 · Vestido Saída de Praia,vestido saída de praia,Exact,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG1 · Vestido Saída de Praia,saída de praia vestido,Exact,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG1 · Vestido Saída de Praia,vestido saída de praia longo,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG1 · Vestido Saída de Praia,saída de praia manga longa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG1 · Vestido Saída de Praia,vestido de praia feminino,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG1 · Vestido Saída de Praia,,,,Responsive search ad,Vestido Saída de Praia,Vestido de Praia Feminino,Saída de Praia Vestido,Vestido Midi de Praia,Vestido Manga Longa Praia,Vestidos c/ Transparência,"A Partir de R$79,99",Vários Modelos e Estampas,Compre seu Vestido Online,Vestido de Praia Elegante,"Onça, Floral e Liso",Zero Hora Beach Wear,Veja a Coleção de Vestidos,Loja Oficial Zero Hora,Pronta Entrega,"Vestidos saída de praia com transparência. Midi, manga longa e regata.","Vários modelos e estampas. A partir de R$79,99 na loja oficial Zero Hora.",Compre seu vestido de praia online com segurança. Pronta entrega.,"Do básico ao estampado: onça, floral e liso. Veja a coleção Zero Hora.",saida-de-praia,vestido,https://usezerohora.lojavirtualnuvem.com.br/saida-de-praia/vestido
ZH | Search | Saída de Praia,,,,AG2 · Transparência / Tule,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG2 · Transparência / Tule,saída de praia transparente,Exact,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG2 · Transparência / Tule,saída de praia renda,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG2 · Transparência / Tule,saída de praia de tule,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
ZH | Search | Saída de Praia,,,,AG2 · Transparência / Tule,vestido transparente praia,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
