Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138331,[006-A]-UV-MASCULINA,,camisa uv masculina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138331,[006-A]-UV-MASCULINA,,camiseta uv masculina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138331,[006-A]-UV-MASCULINA,,blusa de proteção uv masculina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138331,[006-A]-UV-MASCULINA,,camiseta masculina de surf,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138331,[006-A]-UV-MASCULINA,,camisa de lycra surf masculina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138331,[006-A]-UV-MASCULINA,,camiseta manga longa uv 50+ masculina,Exact match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138331,[006-A]-UV-MASCULINA,,camiseta com proteção solar masculina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,blusa uv feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camisa uv feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,blusa com proteção uv feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,blusa com filtro solar feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camisa com proteção solar feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camiseta proteção solar feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camiseta feminina uv,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camiseta uv 50 feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,camiseta surf feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,204785138371,[006-B]-UV-FEMININA,,blusa surfista feminina,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta uv,Exact match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,blusa proteção uv,Exact match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,roupa com proteção uv,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,roupa uva uvb,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camisa proteção uv,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camisetas com proteção uv,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camiseta proteção uv manga longa,Phrase match,,,,,,,,
Keyword,Add,Enabled,24110422707,[006-SEARCH]-LYCRA,207497286628,[006-C]-UV-GERAL,,camisa manga longa proteção uv,Phrase match,,,,,,,,
